f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,class
f01,f11,f21,?,f41,f51,f61,f71,0.2261,1.0092,0.9735,0.5856,1.5732,4.7563,0.808,0.8188,f160,f170,f181,C0
f01,f10,f20,f30,f40,?,f61,f71,0.3586,0.0673,0.8581,0.5175,3.227,4.1908,0.2499,2.9982,f161,f170,f181,C0
f01,f10,f21,f31,f40,f50,?,f71,0.9501,1.1015,0.0511,0.3113,1.213,5.0398,0.6183,4.267,f161,f171,f181,C0
f01,?,f20,f30,f41,f50,f60,f71,0.8244,0.4243,0.8692,0.6662,1.2181,4.7104,0.3333,2.9876,f161,f170,f180,C0
f01,f11,f21,f31,f41,f50,f61,f71,1.1654,0.2593,0.1525,0.8781,2.2129,1.5904,0.3565,1.0673,f160,f170,f180,C0
f01,f10,?,f30,f41,f50,f61,f71,0.9803,1.1688,0.5685,0.1368,3.9502,4.3292,0.5251,10.9926,f160,f170,f180,C0
f01,f10,f20,f31,f40,f51,f61,f71,0.442,0.1757,1.1278,1.1412,2.9876,4.6028,1.015,7.6795,f161,f170,f180,C0
f01,f10,f21,f30,f40,f51,f61,f71,0.5492,0.943,0.3999,0.3875,1.3939,5.3064,0.1103,2.2709,f161,f170,f181,C0
f01,f10,f21,f31,f40,f51,f60,f70,0.3173,0.8124,1.1043,0.8776,0.551,1.8266,0.1027,1.013,f161,f171,f181,C0
f01,f10,f20,f31,f41,f51,f60,f70,0.71,0.3074,0.4906,0.4639,2.7333,3.8622,0.2828,1.1788,f161,f170,f180,C0
f01,f10,f21,f30,f41,f51,f60,f71,0.5126,1.1133,1.1049,0.095,1.9266,0.1979,0.7091,10.5625,f161,f171,f181,C0
f01,f10,f20,f31,f40,f50,f60,f71,1.1,0.475,0.2285,0.3901,0.3358,1.7516,0.4763,2.6096,f161,f170,f180,C0
f00,f10,f21,f31,f40,f50,f60,f71,0.4332,0.4459,0.2024,1.0548,1.2857,4.9004,1.0348,9.8144,f160,f170,f181,C0
f01,f10,f21,f31,f41,f50,f61,f71,0.3194,0.6283,1.0926,0.4399,0.5965,4.3416,0.8657,8.659,f160,f170,f181,C0
f01,f10,f20,f31,f41,f50,f61,?,0.4979,0.237,0.6371,1.0294,2.322,2.385,1.1436,6.138,f161,f170,f180,C0
f01,f10,f21,f30,f40,f51,f60,f71,0.1991,1.004,0.1176,0.0055,0.1967,5.2051,1.0371,3.3762,f160,f170,f180,C0
f01,f10,f20,f31,f41,f50,f61,f71,0.8977,0.7129,0.078,1.1286,3.299,1.6094,0.831,5.3565,f160,f170,f181,C0
