f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,class
f00,f11,f20,f30,f40,f50,f61,f71,f81,0.3839,1.5223,0.5516,0.0579,2.2677,1.1361,0.9204,1.8718,0.7433,C0
f00,f10,f20,f30,f40,f50,f61,f70,f81,1.4089,1.7259,0.9097,1.5688,0.9065,1.2314,0.9521,1.5515,0.756,C0
f01,f10,f20,f30,f41,f50,f60,f71,f80,0.2752,0.2936,0.5023,1.6234,1.7168,1.3118,0.352,2.5584,2.0897,C0
f01,f11,f20,f31,f41,f50,f60,f70,f80,0.1777,0.1441,2.1431,1.3822,2.1976,0.704,0.116,0.1408,2.0033,C0
f00,f11,f20,f30,f40,f50,f60,f71,f80,0.1692,0.2393,2.5039,0.8708,1.6206,0.6319,0.6632,0.6857,0.6148,C0
f00,f11,f21,f30,f40,f50,f61,f71,f80,1.7194,1.1627,1.4913,1.1331,0.7824,0.782,1.2833,2.5398,0.7689,C0
f00,f10,f20,f30,f41,f51,f61,f71,f81,0.8672,1.7826,0.5548,0.8608,0.8398,1.1799,0.2755,0.4925,1.3076,C0
f00,f10,f20,f30,f41,f50,f61,f71,f81,0.7275,0.0533,0.5936,0.3336,0.8435,0.0796,0.9887,1.3129,0.5699,C0
f01,f10,f20,f30,f41,f51,f61,f70,f81,1.3772,2.1703,0.5417,1.3841,1.0304,1.3095,1.6306,0.0701,1.571,C0
f01,f10,f21,f30,f41,f50,f60,f71,f81,1.0121,1.0563,1.3264,0.831,1.8041,1.368,0.464,1.2665,1.8641,C0
f00,f11,f20,f30,f40,f50,f61,f71,f80,0.1428,2.0212,1.1858,0.0521,1.0138,1.1148,0.3565,0.2184,0.8281,C0
f01,f10,f21,f30,f40,f50,f60,f71,f80,1.0336,1.8346,1.8416,1.5795,1.4886,1.1137,0.802,0.0133,2.3283,C0
f00,f11,f20,f30,f41,f50,f61,f71,f80,1.5091,2.1028,2.4042,1.1962,0.2708,1.3781,1.0994,0.6858,2.2932,C0
f00,f10,f21,f30,f40,f50,f61,f71,f80,0.6847,0.3505,2.3374,1.1874,1.1488,0.3509,0.5982,1.4128,2.2496,C0
f00,f11,f21,f30,f41,f50,f60,f71,f80,0.249,1.4684,2.0255,0.5106,0.7205,1.4877,1.1027,2.3781,2.1687,C0
f01,f10,f20,f30,f40,f51,f61,f71,f80,0.823,1.8398,0.8684,1.6789,2.044,1.4233,1.6465,1.3514,1.177,C0
f01,f11,f20,f30,f41,f50,f60,f71,f81,0.5526,1.4089,2.2523,1.6327,2.2732,0.54,0.2877,0.7136,1.3636,C0
f01,f10,f20,f30,f40,f50,f61,f71,f80,0.7388,0.4277,0.808,0.122,0.7629,1.1803,0.8407,2.0505,1.4118,C0
f01,f11,f21,f30,f41,f50,f61,f71,f80,1.2801,1.5878,0.3607,0.8675,0.1817,0.8558,1.072,1.817,2.3258,C0
f01,f10,f21,f30,f40,f50,f61,f71,f80,1.7895,0.796,1.6493,0.0319,2.0395,0.2239,0.0158,2.516,0.0344,C0
f01,f10,f20,f30,f41,f50,f61,f71,f80,0.476,1.8471,1.6487,0.9554,0.3288,1.104,0.7046,0.1065,2.3129,C0
